Age,Education Level,Occupation,Interest,Experience,Learning Style,Time Commitment,Preferred Resources,Recommended Skill
22,PhD,Working Professional,Blockchain,Beginner,Auditory,5-10 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
22,PhD,Working Professional,Blockchain,Beginner,Reading/Writing,<5 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
23,PhD,Working Professional,Blockchain,Advanced,Kinesthetic,<5 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
24,PhD,Working Professional,Blockchain,Beginner,Visual,>10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
24,PhD,Working Professional,Blockchain,Beginner,Kinesthetic,>10 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
24,PhD,Working Professional,Blockchain,Intermediate,Visual,<5 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
24,PhD,Working Professional,Blockchain,Advanced,Kinesthetic,5-10 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
24,PhD,Working Professional,Blockchain,Beginner,Auditory,<5 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
24,PhD,Working Professional,Blockchain,Intermediate,Visual,<5 hrs/week,Paid,"Advanced Cryptography, Secure DeFi"
24,PhD,Working Professional,Blockchain,Intermediate,Kinesthetic,5-10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
25,PhD,Working Professional,Blockchain,Beginner,Visual,>10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
25,PhD,Working Professional,Blockchain,Intermediate,Reading/Writing,<5 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
25,PhD,Working Professional,Blockchain,Beginner,Visual,>10 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
26,PhD,Working Professional,Blockchain,Beginner,Auditory,>10 hrs/week,Free,"Advanced Cryptography, Secure DeFi"
26,PhD,Working Professional,Blockchain,Intermediate,Reading/Writing,<5 hrs/week,Free & Paid,"Advanced Cryptography, Secure DeFi"
